Formulation,Graph_type,n,r,runtime,gap,num_cuts,separation_time
-TCFLP,tree,20,3,0.29,0.17,23.87,0.29
-TCFLP,tree,20,6,0.39,0.29,19.31,0.38
-TCFLP,tree,20,9,0.2,0.0,7.77,0.19
-TCFLP,tree,40,5,2.66,0.37,47.15,2.65
-TCFLP,tree,40,10,3.54,0.26,42.65,3.53
-TCFLP,tree,40,15,2.06,0.22,21.76,2.06
-TCFLP,tree,60,6,10.38,0.27,76.61,10.37
-TCFLP,tree,60,12,14.47,0.22,61.79,14.46
-TCFLP,tree,60,18,14.07,0.2,46.25,14.05
-TCFLP,tree,80,10,45.88,0.22,114.4,45.86
-TCFLP,tree,80,16,43.89,0.24,79.47,43.87
-TCFLP,tree,80,18,42.55,0.18,66.0,42.53
-TCFLP,tree,80,25,53.76,0.23,69.85,53.74
-TCFLP,tree,100,10,89.09,0.28,145.25,89.06
-TCFLP,tree,100,20,124.69,0.15,120.82,124.67
-TCFLP,tree,100,30,87.36,0.27,68.05,87.33
-TDPBLP,tree,20,3,0.02,0.0,19.87,0.02
-TDPBLP,tree,20,6,0.05,0.0,16.33,0.04
-TDPBLP,tree,20,9,0.08,0.0,8.32,0.07
-TDPBLP,tree,40,5,0.49,0.0,113.13,0.48
-TDPBLP,tree,40,10,1.12,0.0,58.64,1.1
-TDPBLP,tree,40,15,1.81,0.0,39.51,1.77
-TDPBLP,tree,60,6,1.39,0.0,149.41,1.37
-TDPBLP,tree,60,12,6.23,0.0,145.74,6.19
-TDPBLP,tree,60,18,12.58,0.0,98.95,12.5
-TDPBLP,tree,80,10,10.87,0.0,204.48,10.82
-TDPBLP,tree,80,16,42.84,0.0,212.9,42.74
-TDPBLP,tree,80,18,44.08,0.0,149.0,43.98
-TDPBLP,tree,80,25,257.71,0.0,250.83,257.45
-TDPBLP,tree,100,10,26.32,0.0,344.32,26.26
-TDPBLP,tree,100,20,142.95,0.0,205.59,142.77
-TDPBLP,tree,100,30,1406.14,0.0,301.43,1405.81
-TDPLP,tree,20,3,0.01,0.0,-,-
-TDPLP,tree,20,6,0.01,0.0,-,-
-TDPLP,tree,20,9,0.01,0.0,-,-
-TDPLP,tree,40,5,0.02,0.0,-,-
-TDPLP,tree,40,10,0.03,0.0,-,-
-TDPLP,tree,40,15,0.07,0.0,-,-
-TDPLP,tree,60,6,0.03,0.0,-,-
-TDPLP,tree,60,12,0.08,0.0,-,-
-TDPLP,tree,60,18,0.15,0.0,-,-
-TDPLP,tree,80,10,0.1,0.0,-,-
-TDPLP,tree,80,16,0.17,0.0,-,-
-TDPLP,tree,80,18,0.21,0.0,-,-
-TDPLP,tree,80,25,0.37,0.0,-,-
-TDPLP,tree,100,10,0.14,0.0,-,-
-TDPLP,tree,100,20,0.32,0.0,-,-
-TDPLP,tree,100,30,0.69,0.0,-,-
-TRILP,tree,20,3,0.01,0.07,-,-
-TRILP,tree,20,6,0.01,0.29,-,-
-TRILP,tree,20,9,0.01,0.35,-,-
-TRILP,tree,40,5,0.15,0.22,-,-
-TRILP,tree,40,10,0.22,0.26,-,-
-TRILP,tree,40,15,0.31,0.3,-,-
-TRILP,tree,60,6,1.47,0.16,-,-
-TRILP,tree,60,12,3.87,0.24,-,-
-TRILP,tree,60,18,3.79,0.24,-,-
-TRILP,tree,80,10,17.97,0.2,-,-
-TRILP,tree,80,16,17.97,0.21,-,-
-TRILP,tree,80,18,14.73,0.26,-,-
-TRILP,tree,80,25,16.72,0.45,-,-
-TRILP,tree,100,10,52.47,0.2,-,-
-TRILP,tree,100,20,40.79,0.21,-,-
-TRILP,tree,100,30,43.88,0.35,-,-
